Equation a b c d e
504 exp[a+b·ln(D)]+exp[c+d·ln(D)] –3.9212 2.668 –13.575 5.2043 –
505 exp[a+b·ln(D)]+exp[c+d·ln(D)] –2.5809 2.1595 –5.683 2.407 –
506 a·D2+b·(D2–c) 89.24474 64.8925 49 – –
507 a·D2 89.24474 – – – –
508 a·D2+b·(D2–c) 175.40886 1.7509 49 – –
509 a·D2 175.40886 – – – –
510 a+b·[D/(D+14)] –2.2184 11.4219 – – –
511 a+b·[D/(D+14)]+c·H+d·ln(H) –2.6864 7.6066 0.0200 0.8658 –
512 a+b·ln(D)+c·ln(D2)+d·H 4.3823 1.19 0.1969 0.0149 –
513 a·log(D)+b 3.0742 –2.6683 – – –
514 a·Db 0.0519 2.545 – – –
515 a·Db 1.46.10–4 2.6035333 – – –
516 a·Db 5.75.10–4 1.873298 – – –
517 a·Db 0.0644 2.001 – – –
518 a·Db 8.47.10–4 1.481578 – – –
519 a·Db 0.0197 2.764 – – –
520 a·Db 6.5.10–5 2.739823 – – –
521 a·Db·Hc 0.0717 1.8322 0.6397 – –
522 a·Db·Hc 0.0586 2.8285 –1.0282 – –
523 a·Db·Hc 0.0379 1.581 1.0795 – –
524 a+b·ln(D) –1.957 2.2996 – – –
525 a+b·ln(D) –1.62 2.410 – – –
526 a·Db 0.111 2.397 – – –
527 a·Db 0.111 2.397 – – –
528 a+b·ln(D)+c·ln(H) –2.675 4.420 –2.784 – –
529 a+b·ln(D)+c·ln(H) –1.345 3.924 –2.514 – –
530 a·Db·Hc 3.461.10–4 2.7169 –1.26060 – –
531 a+b·ln(D)+c·ln(H) –1.346 3.351 –2.201 – –
532 a·log(D)+b 2.1641 –1.4467 – – –
533 a·log(D)+b 2.5786 –1.8899 – – –
534 a·log(D)+b 2.9108 –2.3807 – – –
535 a·log(D)+b 2.5309 –1.6393 – – –
536 a·log(H·D2)+b 1.0472 –2.6287 – – –
537 a·Db 2.179.10–5 2.4209 – – –
538 a+b·ln(D)+c·ln(H) –2.535 2.009 0.709 – –
539 a+b·log(D) –2 2.63 – – –
540 a+b·ln(D) –2.1686 2.4407 – – –
541 a+b·ln(D2H) –2.5259 0.8605 – – –
542 a+b·ln(D) –3.3508 1.7235 – – –
543 [a+b(1/D)+c(1/D2)]·D2 0.0536 –0.3269 – – –
544 a+b·ln(D) –11.433 4.9391 – – –
545 a+b·ln(D) –4.1909 2.5403 – – –
546 a+b·ln(D2H) –3.5363 0.5957 – – –
547 [a+b(1/D2H)]·D2·H 0.0015 0.0402 – – –
548 a+b·ln(D2H) –12.7333 1.8202 – – –
549 a+b·ln(D2H) –4.4702 0.8791 – – –
550 a+b·ln(D) –2.5518 2.3887 – – –
551 a+b·ln(D) –3.8649 2.4261 – – –
552 a+b·ln(D) –2.32 2.4147 – – –
553 a+b·ln(D2H) –2.9275 0.8468 – – –
554 a+b·ln(D2H) –4.2122 0.854 – – –
555 a+b·ln(D2H) –2.6916 0.8546 – – –
556 a·Db 0.2306 2.2791 – – –
557 a·Db 0.2179 2.0513 – – –
558 a+b·D2·H –0.6165 0.03582 – – –
559 a+b·log(D) –0.656 2.217 – – –
560 a+b·log(D) –0.275 1.831 – – –
561 a+b·log(D) –0.854 2.413 – – –
562 a+b·log(D) –0.902 2.433 – – –
563 a+b·log(D) –0.313 1.900 – – –
564 a+b·log(D)+c·H –0.568 1.953 0.029 – –
565 a·Db 0.2313 2.2662 – – –
566 a+b·D2·H –1.0906 0.031073 – – –
567 a+b·log(D) –0.704 1.833 – – –
568 a+b·log(D) –0.411 1.546 – – –
569 a+b·log(D) –0.825 1.953 – – –
570 a+b·log(D) –0.996 2.077 – – –
571 a+b·log(D) –0.370 1.544 – – –
572 a+b·log(D)+c·H –0.617 1.672 0.014 – –
573 a+b·log(D) –0.825 1.789 – – –
574 a+b·log(D) –1.429 2.089 – – –
575 a+b·D2·H 0.4741 0.0047473 – – –
576 a+b·log(D) –1.624 1.891 – – –
577 a+b·log(D) –1.347 1.654 – – –
578 a+b·log(D) –2.128 2.309 – – –
579 a+b·log(D) –2.142 2.269 – – –
580 a+b·log(D) –1.366 1.774 – – –
581 a+b·log(D)+c·H –1.533 1.808 0.002 – –
582 a+b·log(D) –1.188 2.139 – – –
583 a+b·log(D) –1.563 2.422 – – –
584 a+b·log(D) –0.714 1.79 – – –
585 a+b·log(D) –1.145 1.897 – – –
586 a+b·log(D) –1.417 2.093 – – –
587 a+b·log(D) –0.835 1.688 – – –
588 a+b·log(D) –1.05 2.19 – – –
589 a+b·log(D) –1.047 2.191 – – –
590 a+b·log(D) –1.393 2.451 – – –
591 a+b·log(D) –0.448 1.734 – – –
592 a+b·log(D) –1.166 2.478 – – –
593 a+b·log(D) –0.747 2.044 – – –
594 a+b·log(D) –1.355 2.674 – – –
595 a+b·log(D) –1.336 2.640 – – –
596 a+b·log(D) –0.839 2.156 – – –
597 a+b·log(D)+c·H –1.088 2.157 0.039 – –
598 a+b·log(D) –1.56 2.44 – – –
599 a+b·ln(H·D2) –3.323 0.95 – – –
600 a+b·ln(D) –0.883 2.140 – – –
601 a+b·ln(D) –2.4232 2.4682 – – –
602 a+b·ln(D) –2.3223 2.4029 – – –
603 a+b·ln(D) –3.1404 2.8113 – – –
604 a+b·ln(D) –3.1009 2.6996 – – –
605 a·D2 2.1612.10–4 – – –
606 a·Db·Hc 5.4224.10–4 2.35 –1.022 – –
607 a+b·ln(D) –2.6788 2.4542 – – –
